track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251,83,F#,Minor,57,56,72,23,0,27,5,un x100to,un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,170.2,"1,008,495,696","99,381","57,394,938",75.0,"878,892,413","4,425,283","796,603","127,651,887","1,669,065,906","1,522,934,425",101.0,"73,481",225,42.0,"5,734,172",81.0,"55,857,743","15,528",,"2,283,747",,0
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,21,5,168,150,F,Minor,78,52,82,18,0,15,7,Super Shy,NewJeans 'Super Shy',NewJeans,7/7/2023,USA2P2330068,298,88.4,"547,471,596","48,103","22,977,059",77.0,"202,977,396","2,705,714","1,201,620","210,186,679","1,998,080,214","776,229,988",56.0,"23,381",258,22.0,"671,053",58.0,"1,428,951","6,871","2,172,977","528,849",,0
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85.0,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,"190,260,277","203,384",,"11,822,942",,0
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,Flowers,NOW That's What I Call Music! 115,Miley Cyrus,7/28/2023,USSM12300148,"1,625",36.4,"2,010,422,639",7,185,,,,,,,,,,,,,,,,,,,0
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,Flowers,Flowers (Official Video),Miley Cyrus,1/12/2023,USSM22202811,"3,752",22.1,"2,031,280,633",1,92,,,,,,,,,,,,,,,,,,,0
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,"1,021",118,,Major,71,65,68,6,0,3,7,Flowers,Flowers,Lauren Spencer Smith,4/14/2022,USUG12202201,"4,000",21.3,"260,183,209","36,176","9,276,256",65.0,"64,169,463","486,007","106,827","32,754,226","295,540,554","2,547,376,419",31.0,"15,877",62,12.0,"298,664",15.0,"12,043,516","18,797","5,221,070","626,257",,1
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429,42,9,24,1,1,138,D#,Major,70,31,44,84,0,9,39,Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85.0,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,"190,260,277","203,384",,"11,822,942",,0
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429,42,9,24,1,1,138,D#,Major,70,31,44,84,0,9,39,Flowers,NOW That's What I Call Music! 115,Miley Cyrus,7/28/2023,USSM12300148,"1,625",36.4,"2,010,422,639",7,185,,,,,,,,,,,,,,,,,,,0
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429,42,9,24,1,1,138,D#,Major,70,31,44,84,0,9,39,Flowers,Flowers (Official Video),Miley Cyrus,1/12/2023,USSM22202811,"3,752",22.1,"2,031,280,633",1,92,,,,,,,,,,,,,,,,,,,0
Flowers,Lauren Spencer Smith,1,2021,8,9,801,0,184826429,42,9,24,1,1,138,D#,Major,70,31,44,84,0,9,39,Flowers,Flowers,Lauren Spencer Smith,4/14/2022,USUG12202201,"4,000",21.3,"260,183,209","36,176","9,276,256",65.0,"64,169,463","486,007","106,827","32,754,226","295,540,554","2,547,376,419",31.0,"15,877",62,12.0,"298,664",15.0,"12,043,516","18,797","5,221,070","626,257",,1
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207.0,"1,126,820,069","177,800","85,255,689",82.0,"274,070,101","3,701,289","2,557,115","285,329,503","2,578,518,632","1,205,538,057",163.0,"259,255",96,77.0,"3,413,707",80.0,"28,924,685","14,634","9,505,098","8,681,350",,0
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,Daylight,For All The Dogs,Drake,10/6/2023,USUG12306070,"2,521",28.2,"78,417,212","26,088","13,353,722",,"4,514,270","53,581","4,865","4,204,924","38,589,807",,7.0,374,43,,,,"1,294,581","1,122","2,871,573","152,693",,1
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,"1,281",130,D,Minor,51,32,43,83,0,9,3,Daylight,Harry's House,Harry Styles,5/20/2022,USSM12200613,"4,558",19.5,"377,242,486","42,233","11,501,240",68.0,"46,848,683","1,141,593","80,961","39,903,732","224,312,083","62,344,312",21.0,"4,931",218,22.0,"581,162",8.0,"20,446,088","4,196","165,194","224,414",,0
Daylight,Harry Styles,1,2022,5,20,2775,0,290833204,21,11,40,0,0,146,,Major,69,63,45,48,0,18,4,Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207.0,"1,126,820,069","177,800","85,255,689",82.0,"274,070,101","3,701,289","2,557,115","285,329,503","2,578,518,632","1,205,538,057",163.0,"259,255",96,77.0,"3,413,707",80.0,"28,924,685","14,634","9,505,098","8,681,350",,0
Daylight,Harry Styles,1,2022,5,20,2775,0,290833204,21,11,40,0,0,146,,Major,69,63,45,48,0,18,4,Daylight,For All The Dogs,Drake,10/6/2023,USUG12306070,"2,521",28.2,"78,417,212","26,088","13,353,722",,"4,514,270","53,581","4,865","4,204,924","38,589,807",,7.0,374,43,,,,"1,294,581","1,122","2,871,573","152,693",,1
Daylight,Harry Styles,1,2022,5,20,2775,0,290833204,21,11,40,0,0,146,,Major,69,63,45,48,0,18,4,Daylight,Harry's House,Harry Styles,5/20/2022,USSM12200613,"4,558",19.5,"377,242,486","42,233","11,501,240",68.0,"46,848,683","1,141,593","80,961","39,903,732","224,312,083","62,344,312",21.0,"4,931",218,22.0,"581,162",8.0,"20,446,088","4,196","165,194","224,414",,0
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,"3,301,814,535","407,119","169,783,402",87.0,"800,899,315","9,101,589","2,755,903","1,633,970,617","15,405,881,843","7,289,707,052",455.0,"1,777,811","4,909",330.0,"12,907,852",189.0,"132,624,772","79,909",,"14,967,379",,0
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,As It Was,As It Was (Official Video),Harry Styles,3/31/2022,USSM22200594,"3,410",23.5,"3,299,082,422",1,1,,,,,,,,,,,,,,,,,,,0
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,As It Was,As It Was - Single,Hundreds,3/24/2023,DETO32300012,"3,483",23.1,"479,006",111,"76,454",30.0,"236,027,939","2,149,041",,,,"7,225,289",1.0,161,,1.0,"2,451",,,,,,,0
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,177.7,"1,873,746,537","190,202","99,546,318",82.0,"220,538,045","3,153,793","266,430","152,410,048","1,284,413,960","426,461,749",214.0,"655,242","5,448",73.0,"1,304,067",122.0,"57,350,590","61,270","16,992,932","4,873,832",,0
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,Kill Bill,Kill Bill - Single,pasa michaelson,8/26/2023,GB8KE2318565,"1,156",45.2,"1,842,758,768",1,1,,,,,,,,,,,,,,,,,,,1
