track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6,Un Finde | CROSSOVER #2,Un Finde | CROSSOVER #2,Big One,4/4/2023,ARP7V2300002,588,62.6,"361,219,290","34,991","12,554,230",72.0,"319,150,330","1,101,883","710,900","63,611,915","947,077,415","329,133,682",13.0,"17,927",,21.0,"5,312,674",13.0,,,,"654,350",,0
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532,81,121,58,1,34,163,,Major,54,40,67,0,0,9,17,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,6/17/2022,USUG12204897,192,109.7,"971,473,231","239,671","77,479,207",78.0,"198,796,965","2,003,253","803,500","85,725,313","926,300,276","327,806,846",110.0,"1,041",641,18.0,"314,003",57.0,"50,899,547","48,037","24,117,364","3,142,892",,1
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183,179,97,"3,394",11,153,122,C#,Minor,66,48,71,6,0,12,4,Counting Stars,Native (Standard),OneRepublic,1/1/2013,USUM71301306,892,51.1,"2,466,006,842","343,135","114,346,295",81.0,"304,524,339","2,956,756","382,991","125,290,160","1,245,061,983","149,045,425",198.0,"237,316",170,138.0,"1,401,001",40.0,"1,394,055,006","1,085,579",,"118,910",,0
Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737,107,38,95,0,,154,D,Major,61,41,74,21,0,40,6,Ghost,Justice,Justin Bieber,3/19/2021,USUM72102635,283,91.5,"1,586,830,204","151,923","73,574,395",80.0,"476,319,277","4,622,504","797,409","122,390,348","1,180,485,094","2,976,186,938",119.0,"844,492","3,180",114.0,"303,462",49.0,"129,493,114","54,497",,"4,413,143",,0
Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809,133,181,3,0,,117,A,Minor,73,31,69,6,0,11,4,Under The Influence,Indigo (Extended),Chris Brown,10/4/2019,USRC11902743,423,74.9,"1,249,760,413","202,465","56,664,631",79.0,"699,931,779","6,139,127","1,107,358","252,070,540","2,436,202,278","257,447,653",186.0,"456,661","1,057",60.0,"1,734,864",39.0,"101,759,650","81,211","17,909,859","12,188,959",,1
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,19,143,10,6,15,138,G,Minor,78,89,83,10,0,12,5,PRC,PRC,Peso Pluma,1/24/2023,QM4TW2315684,522,67.4,"668,103,212","52,040","23,580,184",69.0,"417,352,534","2,399,654",,63,"1,213","143,646,060",52.0,834,3,4.0,"1,056,738",8.0,"50,081,670","10,114",,"889,406",,1
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,433,107,"3,631",0,26,104,C#,Major,77,36,63,1,0,36,5,One Dance,One Dance (feat. Wizkid & Kyla) - Single,Drake,4/4/2016,USCM51600028,518,67.9,"3,192,204,066","379,853","131,832,723",82.0,"456,806,913","5,068,762","2,381,341","51,227,212","388,544,079","6,670,180",550.0,"184,311",932,165.0,"1,383,884",97.0,"714,508,129","601,041",,"21,316,589",,0
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3,Save Your Tears,After Hours,The Weeknd,3/20/2020,USUG12000658,371,79.9,"1,995,511,952","304,456","63,126,296",80.0,"365,257,705","2,699,016","415,050","137,726,738","1,154,403,769",327,285.0,"3,607",321,46.0,"105,227",27.0,"283,725,931","79,728","22,025,427","15,776,388",,1
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3,Save Your Tears,After Hours (Deluxe),The Weeknd,3/20/2020,USUG12000669,"1,827",34.0,"1,995,511,952","8,264","1,155,540",49.0,,,,,,,68.0,"916,627",,29.0,"2,416,985",,,,,,,1
Sure Thing,Miguel,1,2010,5,25,13801,19,950906471,137,125,435,6,285,81,B,Minor,68,51,60,3,0,19,10,Sure Thing,All I Want Is You,Miguel,5/25/2010,USJI10800160,"2,362",29.3,"1,335,928,309","190,857","100,835,580",81.0,"165,856,240","1,428,581","235,546","71,440,021","595,426,317","69,346,849",154.0,"471,442","1,200",84.0,"7,801,382",54.0,"743,204,828","586,356",,"8,783,890",,0
The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4,The Night We Met,The Night We Met,Lord Huron,2/9/2015,US53Q1200103,"1,226",42.7,"2,097,181,065","286,668","123,211,490",84.0,"807,672,690","8,866,507","451,668","239,330,349","1,722,597,041","7,770,380",78.0,"11,224",43,49.0,"1,101,868",44.0,"288,302,729","147,940","2,601,964","8,832,956",,0
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,1235005533,321,91,"4,607",1,58,128,C#,Major,73,60,77,3,0,11,4,We Found Love,Talk That Talk (Explicit),Rihanna,1/1/2011,USUM71115507,"1,965",32.5,"1,655,539,775","219,739","111,528,796",79.0,"1,438,850,843","6,775,048",,"141,145","831,485","188,422,282",318.0,"192,995",1,153.0,"2,524,604",103.0,,,"29,410,060","12,779,481",,0
When I Was Your Man,Bruno Mars,1,2012,12,5,2420,11,1661187319,0,0,806,0,0,145,,Major,60,43,27,94,0,14,4,When I Was Your Man,Unorthodox Jukebox,Bruno Mars,12/7/2012,USAT21206701,"4,187",20.7,"2,106,040,891","231,184","111,114,931",81.0,"275,768,987","2,172,034","237,576","72,740,220","624,816,222","27,825,601",104.0,"152,868",228,184.0,"1,054,128",39.0,,,,,,0
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,1374581173,0,0,885,0,0,150,C#,Minor,65,51,55,73,0,14,3,Let Me Down Slowly,Let Me Down Slowly,Alec Benjamin,5/25/2018,USAT21802284,769,55.3,"1,709,991,997","187,053","79,925,766",80.0,"1,447,964,376","19,917,766","2,026,064","188,810,282","2,833,687,729","1,915,732,260",1.0,"1,563",132,41.0,"460,093",10.0,,,,,,0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,USUM72308540,913,50.5,"247,682,011","67,166","13,150,883",72.0,"81,060,467","925,753","13,500","6,210,382","38,882,669","703,035",51.0,"3,710",,9.0,"44,406",5.0,"665,747","2,700",,"1,390,039",,0
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3,Do I Wanna Know?,AM,Arctic Monkeys,1/1/2013,GBCEL1300362,"1,837",33.9,"2,188,592,950","361,827","91,030,520",81.0,"457,550,865","4,610,448","13,917","12,237,124","71,629,637","56,377",149.0,"2,204",71,103.0,"706,652",34.0,"308,026,596","156,277",,"10,708,249",,0
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3,Do I Wanna Know?,Do I Wanna Know?,Arctic Monkeys,1/1/2013,GBCEL1300332,"3,432",23.3,"2,188,592,950","11,669","2,167,817",46.0,"1,719,916,219","10,641,718",,,,"276,011,994",7.0,"86,851",,11.0,"5,205",9.0,,,,,,0
Demons,Imagine Dragons,1,2012,1,1,26694,13,1840364617,65,82,"3,425",4,13,180,D#,Major,33,38,71,20,0,28,5,Demons,Continued Silence - EP,Imagine Dragons,1/1/2012,USUM71201071,847,52.8,"2,270,796,677","263,640","71,470,111",80.0,"1,738,647,396","12,375,429","261,866","25,465,591","296,361,891","273,191,644",70.0,"144,439",465,88.0,"2,680,196",29.0,"1,087,793,804","553,855","26,345,651","18,161,724",,0
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9,ýýýýýýýýýýýý,ýýýýýýýýýýýý,YOASOBI,4/12/2023,JPP302300157,351,81.8,"356,559,943","47,785","12,078,942",69.0,"490,408,465","4,295,510","504,800","162,429,655","1,871,819,472","1,227,624,888",59.0,"1,883",,7.0,"44,834",12.0,"540,614",419,,"804,248",,0
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9,ýýýýýýýýýýýý,Bibbidiba - Single,Hoshimachi Suisei,3/23/2024,JPV752408464,"1,482",38.1,"21,255,074","1,754","3,985,309",70.0,"60,877,749","97,240",477,"553,713","5,326,500","9,849,140",2.0,38,,1.0,"7,336",7.0,,,,"41,209",,0
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9,ýýýýýýýýýýýý,ýýýýýýýýýýýý,ANNA ASTI,7/14/2023,RUA1D2370675,"1,922",33.0,"17,080,355","5,909","554,886",53.0,"203,425,864","773,896","31,300","2,959,139","33,547,289","435,977,933",17.0,"1,220",,,,,,,,"1,065,042",,0
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9,ýýýýýýýýýýýý,ýýýýýýýýýýýý,Aimer,12/6/2021,JPU902104729,"3,975",21.4,"227,696,852","34,276","6,961,653",63.0,"250,190,214","1,270,608",,,,"86,777,760",35.0,"1,922",,5.0,"8,662",3.0,"662,602",324,,"403,076",,0
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9,ýýýýýýýýýýýý,ýýýýýýýýýýýý,Omoinotake,1/24/2024,JPU902305217,"4,114",21.0,"46,082,088","1,755","5,204,396",72.0,"45,934,211","265,825",,,,"541,294,021",36.0,442,,1.0,"9,615",3.0,,,,"290,079",,0
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9,ýýýýýýýýýýýý,Kizuna No Kiseki,MAN WITH A MISSION,4/10/2023,JPU902300267,"4,429",19.8,"98,476,020","15,170","5,083,474",65.0,"103,175,548","656,387",,,,"529,805,882",36.0,669,,6.0,"36,038",11.0,,,,"404,281",,0
ýýýýýýýýýýýý,YOASOBI,1,2023,4,12,356,16,143573775,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9,ýýýýýýýýýýýý,ýýýýýýýýýýýý,Lamis Kan,7/27/2021,EGA252103733,"4,525",19.6,"41,071,094","14,309","1,842,678",59.0,"332,271,837","2,651,163","256,849","37,844,605","772,766,174",,3.0,789,,1.0,"74,982",,,,,"1,266,792",,0
Reminder,The Weeknd,1,2016,11,25,6518,17,684675814,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22,Reminder,Starboy,The Weeknd,11/25/2016,USUG11600998,"2,890",25.9,"1,015,965,940","125,348","27,076,169",77.0,"530,807,213","3,439,489","515,202","51,866,413","445,032,303","14,016,821",56.0,"5,219",68,37.0,"270,027",3.0,"71,957,016","35,326","7,071,878","3,869,271",,1
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,1113838873,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16,Shake It Off,1989 (Deluxe),Taylor Swift,1/1/2014,USCJY1431349,593,62.3,"1,409,692,678","162,649","73,697,294",74.0,"3,622,416,832","14,917,829","322,329","269,428,239","2,080,409,767","1,595,433,972",301.0,"45,933",520,115.0,"2,264,405",81.0,"131,156,870","751,459",,"10,197,326",,0
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,1267333350,54,70,"1,089",2,1,92,D,Major,70,81,63,4,0,8,4,Why'd You Only Call Me When You're High?,Why''d You Only Call Me When You''re High?,Arctic Monkeys,1/1/2013,GBCEL1300370,"3,008",25.4,"1,687,828,519","272,010","71,727,595",80.0,"527,397,003","5,344,645","8,490","8,308,615","45,596,295","16,319,566",69.0,"14,702",349,43.0,"280,766",26.0,"121,399,211","37,985",,"3,369,366",,0
SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468,148,80,226,24,0,170,,Major,56,53,64,11,0,45,6,SNAP,SNAP,Rosa Linn,3/19/2022,USSM12207342,643,59.7,"1,039,482,815","99,333","60,341,587",79.0,"14,074,005","277,824","20,083","254,036","6,824,133",,133.0,"366,151",661,75.0,"2,521,874",39.0,,,"3,569,232","9,224,184",,0
SNAP,Rosa Linn,1,2022,3,19,3202,18,726307468,148,80,226,24,0,170,,Major,56,53,64,11,0,45,6,SNAP,SNAP - Single,Rosa Linn,3/19/2022,QM4TX2221661,"1,828",34.0,"1,033,308,414","53,249","27,556,242",1.0,"12,702,613","214,200","420,936","170,964,850","1,837,588,984","75,492,508",,"169,034",944,15.0,"33,716",,"33,378,778","6,855",,,,0
SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595,3,0,63,0,353,170,,Major,56,52,64,11,0,45,7,SNAP,SNAP,Rosa Linn,3/19/2022,USSM12207342,643,59.7,"1,039,482,815","99,333","60,341,587",79.0,"14,074,005","277,824","20,083","254,036","6,824,133",,133.0,"366,151",661,75.0,"2,521,874",39.0,,,"3,569,232","9,224,184",,0
SNAP,Rosa Linn,1,2022,3,19,1818,0,711366595,3,0,63,0,353,170,,Major,56,52,64,11,0,45,7,SNAP,SNAP - Single,Rosa Linn,3/19/2022,QM4TX2221661,"1,828",34.0,"1,033,308,414","53,249","27,556,242",1.0,"12,702,613","214,200","420,936","170,964,850","1,837,588,984","75,492,508",,"169,034",944,15.0,"33,716",,"33,378,778","6,855",,,,0
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8,Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195.1,"3,909,458,734","316,378","148,037,882",80.0,"8,013,997,219","45,770,887","2,270,315","194,420,058","2,320,856,331","2,294,804,623",465.0,"402,829",282,512.0,"2,710,931",115.0,"733,565,655","651,557","78,149,375","1,146,246",,0
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,3562543890,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8,Shape of You,Shape of You,xSyborg,2/20/2021,QZLBC2302789,"1,807",36.3,"3,888,356,417",,,,,,,,,,,,,,,,,,,,,0
Night Changes,One Direction,1,2014,11,17,7124,18,1131090940,60,20,2,0,,120,G#,Major,67,40,52,86,0,12,4,Night Changes,FOUR (Deluxe),One Direction,11/17/2014,GBHMU1400165,"2,179",30.7,"1,548,151,634","154,325","92,409,509",83.0,"948,760,574","9,009,457","741,824","207,100,684","1,820,024,186","1,693,474,545",66.0,"9,645",17,36.0,"231,749",19.0,"113,124,423","72,174",,"5,939,223",,0
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144,11,84,6,1,30,98,,Major,70,37,54,6,0,9,8,Fin de Semana,Fin de Semana,Oscar Maydon,1/13/2023,QZ9QQ2300040,"1,211",43.0,"568,846,143","38,126","18,723,665",76.0,"209,204,080","876,672","4,469","2,225,214","19,351,144",,25.0,275,,4.0,"1,270,150",8.0,"26,957,938","5,256","2,173,263","896,673",,0
Car's Outside,James Arthur,1,2019,10,18,794,10,265882712,38,25,61,0,263,150,A,Major,34,24,56,4,0,11,3,Car's Outside,YOU,James Arthur,10/18/2019,DEE861903416,"2,876",26.0,"578,464,780","64,098","29,245,701",76.0,"99,386,903","1,089,785","3,170,207","482,763,087","3,957,426,996","78,753,926",32.0,"6,663",,34.0,"211,486",1.0,"1,516,875","2,721",,"2,697,578",,0
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,841749534,61,96,790,2,116,94,F,Major,37,17,47,2,46,11,3,Apocalypse,Apocalypse,Cigarettes After Sex,3/21/2017,USBQU1700034,"1,628",36.3,"1,305,189,811","259,761","79,958,707",82.0,"237,610,293","2,556,677","126,427","67,441,717","435,331,773","5,708,240",64.0,"5,105",53,30.0,"219,837",42.0,"20,133,868","17,745","30,727,101","4,881,850",,1
Cheques,Shubh,1,2023,5,19,67,8,47956378,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5,Cheques,Still Rollin,Shubh,5/19/2023,QM6P42332212,576,63.4,"276,505,971","18,698","9,458,603",73.0,"356,244,269","3,597,189","546,123","13,229,231","193,157,167","596,803",20.0,,,,,22.0,"54,106",66,"2,225,764","509,690",,0
Pink + White,Frank Ocean,1,2016,8,20,21574,30,806397070,112,68,266,1,39,160,A,Major,54,54,55,67,0,42,11,Pink + White,Blonde,Frank Ocean,8/20/2016,QZ5C81600003,"2,642",27.4,"1,299,650,856","228,950","71,708,447",83.0,"158,016,588","1,286,636","130,802","68,303,456","442,090,971","455,453",163.0,"6,091",221,46.0,"1,275,701",41.0,"24,819,579","19,292","9,043,608","2,187,716",,0
Circles,Post Malone,1,2019,8,30,19664,16,2132335812,391,73,633,3,37,120,,Major,70,59,75,24,0,9,4,Circles,Circles,Post Malone,8/30/2019,USUM71915699,170,116.0,"2,481,391,466","332,437","124,491,320",80.0,"1,116,323,669","8,490,012","83,111","26,892,604","273,522,601","841,624,305",355.0,"1,015,731",413,311.0,"1,603,280",69.0,"448,494,186","212,174",,"13,634,519",,0
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,367316268,27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5,Bebe Dame,Bebe Dame - Single,Fuerza Regida,12/16/2022,QZ9QQ2200182,"1,132",44.7,"562,099,076","51,229","20,388,246",70.0,"11,080,081","68,671","623,600","146,379,790","1,746,059,702",,49.0,"15,119",36,18.0,"2,487,813",17.0,"98,549,626","29,193",,"2,289,240",,0
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,2619,12,350381515,47,90,1,0,7,130,F#,Major,63,49,73,5,0,9,3,You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Fearless (Taylor's Version),Taylor Swift,4/9/2021,USUG12100622,"4,458",19.7,"662,057,533","59,739","35,937,845",76.0,"55,391,583","447,166","106,500","64,739,020","451,630,379",,53.0,"23,703",,8.0,"149,944",46.0,"10,543,057","23,062",,"659,091",,0
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812,1,50,19,0,19,139,A,Minor,48,37,41,32,0,10,10,Shut up My Moms Calling,Shut up My Moms Calling - Single,Hotel Ugly,2/10/2020,TCAEQ2083509,"1,983",32.4,"864,865,822","155,446","25,122,611",82.0,"119,059,085","1,543,311","391,311","189,326,209","1,722,108,635","4,587,987",3.0,"1,966",593,5.0,"32,782",13.0,"1,293,279","6,227","5,129,020","1,727,338",,0
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,20,46,21,8,99,170,G#,Minor,62,55,80,15,0,37,7,POLARIS - Remix,POLARIS (Remix),SAIKO,6/8/2023,QM6P42393140,"1,749",34.9,"238,718,077","44,094","17,083,557",69.0,"62,158,239","412,554",,,,"4,863,567",39.0,"3,846",,5.0,"556,881",13.0,"195,992",,,"415,040",,1
Ditto,NewJeans,1,2022,12,19,1154,22,397582059,28,125,11,1,51,134,F#,Minor,81,18,64,3,0,10,11,Ditto,Ditto,NewJeans,12/19/2022,USA2P2254487,"1,098",45.7,"614,497,357","47,586","17,245,496",74.0,"202,069,442","2,934,641","396,808","179,997,019","1,587,051,148","226,112,613",44.0,"13,257",20,2.0,"34,632",42.0,"1,082,714","1,542",,"714,871",,0
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,13,46,20,1,10,146,B,Minor,61,20,48,21,0,12,6,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,USUM72308539,"1,504",37.8,"199,846,893","53,777","10,893,828",69.0,"44,694,805","569,158",,,,"690,391",46.0,380,,5.0,"140,925",25.0,"1,444,633","9,234",,"649,807",,0
Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,29,123124076,37,50,79,11,31,144,B,Major,75,35,48,84,0,10,12,Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,USQX92302824,134,129.6,"230,849,195","23,091","12,233,221",64.0,"363,082,908","5,135,848","4,897,595","104,580,759","1,551,501,289","150,614,267",49.0,"24,103",214,25.0,"319,914",33.0,"23,525,446","4,705",,"623,446",,0
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958,12,117,9,5,3,136,B,Minor,77,79,73,15,0,27,10,AMG,AMG,Natanael Cano,11/24/2022,QZ9QQ2200105,715,57.3,"674,025,091","51,522","21,663,790",70.0,"323,942,993","1,575,190","452,800","108,677,892","1,294,755,383",,34.0,907,13,6.0,"1,183,532",13.0,"37,825,840","12,306",,"967,374",,1
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,6,71,1,0,31,100,E,Major,56,53,55,53,0,12,4,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,5/16/2023,INH102307527,"1,379",39.8,"226,109,929","11,941","13,056,935",66.0,"290,394,869","2,663,583",62,997,"19,132","87,239,915",20.0,853,,1.0,"1,097",11.0,,,,,,0
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,9,101,5,0,73,105,F,Minor,89,67,78,9,0,7,33,S-Class,5-STAR,Stray Kids,6/2/2023,US5TA2300034,"1,465",38.3,"207,857,363","14,268","6,924,859",70.0,"202,184,485","3,376,954","237,706","290,304,541","1,571,240,092","84,759,058",20.0,"1,339",15,4.0,"41,620",32.0,"1,530,163","2,801",,"452,274",,0
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,15,92,21,2,26,132,D,Major,85,53,68,40,0,9,4,Chanel,Chanel,Becky G,3/30/2023,USRC12300804,"1,175",43.8,"287,853,890","21,244","8,675,975",65.0,"267,142,398","1,552,179","98,312","44,289,816","550,080,768","411,799,517",31.0,"1,280",65,12.0,"378,233",20.0,"32,344,279","4,466",,"546,765",,0
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,44,34,25,1,171,155,C#,Major,82,51,39,2,0,9,49,Area Codes,Area Codes,Kaliii,3/17/2023,USAT22301942,"1,220",42.8,"228,240,866","33,819","27,729,274",68.0,"71,928,705","887,392","431,192","122,679,145","1,249,845,764","501,704,711",37.0,"90,410","1,642",5.0,"60,728",33.0,"16,590,391","20,001",,"1,338,659",,1
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,89933133,8,60,4,1,109,129,G#,Major,70,42,43,78,0,11,3,Abcdario,Abcdario,Eden Muï¿½ï,5/13/2023,MXB952300035,"1,738",35.0,"262,504,588","19,709","8,079,760",72.0,"149,083,889","660,503",1,33,939,"10,312,183",20.0,"1,140",,5.0,"1,365,319",3.0,"8,484,383","4,718","2,834,823","657,427",,0
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,10,79,2,0,42,135,F,Minor,80,85,74,62,0,8,9,Obsessed,Obsessed,Riar Saab,9/29/2022,QMBZ92299094,"3,972",21.4,"161,366,691","18,781","6,151,558",64.0,"167,537,164","1,497,169","133,300","16,562,523","286,891,984",,22.0,918,,1.0,"1,097",9.0,,,,"479,047",,0
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,43522589,5,6,4,1,33,98,A#,Minor,73,45,62,28,0,13,13,Piï¿½ï¿½man Deï¿,Piï¿½ï¿½man Deï¿½ï¿½ilim ,Semicenk,6/2/2023,FRX762391695,"2,434",28.9,"134,291,091","16,247","2,133,867",65.0,"147,910,091","435,023",,,,"289,637,676",10.0,"9,012",,1.0,"1,566,667",,,,,"409,388",,0
FLOWER,JISOO,1,2023,3,31,839,18,232896922,20,110,20,0,69,124,A,Minor,84,64,39,3,0,11,4,FLOWER,ME,JISOO,3/31/2023,KRA402300002,174,114.3,"440,364,356","26,107","15,314,737",70.0,"525,156,884","10,820,829","3,411,209","550,993,898","6,724,997,940","68,869,541",33.0,"11,830",92,6.0,"26,844",35.0,"1,335,366","3,263",,"1,058,579",,0
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6,Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,GBAHS2201304,168,116.6,"372,423,476","44,730","21,933,393",71.0,"131,308,671","1,074,684","1,102,985","38,959,591","830,123,390","961,201,576",132.0,"644,972",287,32.0,"1,018,314",68.0,"40,613,139","6,969",,"2,886,987",,0
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6,Eyes Closed,Eyes Closed,Imagine Dragons,4/3/2024,USUM72402448,431,74.2,"51,224,852","5,159","33,795,310",,"30,060,301","670,497",,,,"209,984,783",43.0,"47,932",23,41.0,"18,000,216",82.0,"8,536,936","1,263",,"576,192",,0
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353,116,84,114,18,348,96,D,Major,54,25,74,14,0,9,11,Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/2022,QMDA62217995,190,110.1,"804,925,777","128,247","62,532,855",75.0,"175,393,116","1,729,347","935,169","362,063,344","3,209,982,240","841,611,064",138.0,"400,246",65,65.0,"8,982,560",66.0,"21,279,325","11,614","9,065,143","6,548,714",,1
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192,47,77,53,10,8,123,G#,Major,71,58,70,30,0,32,19,La Jumpa,La Jumpa,Arcï¿½ï¿½,11/30/2022,QMDA72252608,726,56.9,"716,829,483","99,063","53,041,655",68.0,"131,057,530","1,300,009","46,605","37,630,552","348,775,704","1,184,569",59.0,"43,702",11,20.0,"879,528",77.0,"12,867,947","4,374",,"1,521,416",,1
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4,Las Morras,Las Morras,Peso Pluma,4/4/2023,QM4TX2378801,"2,004",32.2,"253,711,656","26,015","6,838,351",66.0,"148,812,952","859,486","21,800","6,180,710","79,415,641","294,580,381",17.0,547,5,3.0,"197,981",6.0,"17,906,765","2,707",,"366,772",,1
