track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,43,100,100,Major,86,67,66,14,0,12,16,Classy 101,Classy 101,Feid,3/31/2023,USUM72304895,195,109.1,"872,148,396","90,726","70,485,920",78.0,477047694.0,1887642.0,459540.0,102272836.0,1113541743.0
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,8,104,120,Major,63,36,73,0,0,36,4,Like Crazy,FACE,Jimin,3/24/2023,USA2P2251865,"1,308",41.1,"1,165,398,518","16,425","22,818,507",84.0,139608215.0,4239579.0,20340.0,5827931.0,25133495.0
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,140,Minor,65,87,74,22,0,42,4,LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,QM7282306246,212,105.2,"684,204,777","48,370","25,130,304",78.0,362779953.0,1617493.0,777100.0,112400175.0,1207597707.0
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,123,Major,69,82,76,6,0,6,3,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Speak Now (Taylor's Version),Taylor Swift,7/7/2023,USUG12302091,"2,673",27.3,"247,056,218","19,231","16,723,973",69.0,41065721.0,1260603.0,139100.0,34732272.0,386594049.0
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,24,98,135,Minor,48,44,42,12,2,11,3,I Wanna Be Yours,AM,Arctic Monkeys,1/1/2013,GBCEL1300373,"3,597",22.6,"2,185,240,293","277,753","129,062,801",86.0,109538379.0,1268458.0,2636.0,16502076.0,105020737.0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,133,Minor,85,81,67,26,0,12,5,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55 - Single",Bizarrap,5/31/2023,UYB282301034,456,72.2,"434,019,386","47,202","14,298,402",70.0,350630590.0,4153653.0,961638.3856,192319298.00158226,1959827354.2515824
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,202,119,107,Major,80,82,80,43,0,14,4,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198.0,"1,391,688,322","163,876","130,963,116",77.0,902742581.0,8099187.0,599.0,48035.0,2857920.0
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,122,Minor,81,74,71,14,0,56,4,MOJABI GHOST,DATA,Tainy,6/29/2023,USA2P2331985,"1,188",43.5,"368,429,447","46,625","20,677,828",75.0,74049864.0,676666.0,3207.0,955307.0,6911099.0
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,204,Major,52,52,68,46,0,15,4,Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300802,157,121.9,"922,010,059","107,189","61,174,155",79.0,141852059.0,567295.0,285414.0,61112010.0,811685466.0
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,126,Minor,74,35,84,0,0,11,6,Rush,Rush,Ayra Starr,9/16/2022,NGA3B2216004,205,106.4,"371,886,608","98,009","19,411,516",67.0,361174452.0,1904397.0,3035139.0,98505939.0,1454848289.0
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,168,Major,56,63,87,39,0,11,5,TULUM,TULUM,Peso Pluma,6/28/2023,QM7282325573,328,84.6,"390,182,196","36,912","13,688,250",74.0,253468644.0,1103093.0,1096644.0,84875226.0,1391833232.0
