track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Ditto,NewJeans,1,2022,12,19,1154,22,397582059,28,125,134,Minor,81,18,64,3,0,10,11,Ditto,Ditto,NewJeans,12/19/2022,USA2P2254487,"1,098",45.7,"614,497,357","47,586","17,245,496",74.0,202069442.0,2934641.0,396808.0,179997019.0,1587051148.0
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,13,46,146,Minor,61,20,48,21,0,12,6,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,USUM72308539,"1,504",37.8,"199,846,893","53,777","10,893,828",69.0,44694805.0,569158.0,961638.3856,192319298.00158226,1959827354.2515824
Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,29,123124076,37,50,144,Major,75,35,48,84,0,10,12,Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,USQX92302824,134,129.6,"230,849,195","23,091","12,233,221",64.0,363082908.0,5135848.0,4897595.0,104580759.0,1551501289.0
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958,12,117,136,Minor,77,79,73,15,0,27,10,AMG,AMG,Natanael Cano,11/24/2022,QZ9QQ2200105,715,57.3,"674,025,091","51,522","21,663,790",70.0,323942993.0,1575190.0,452800.0,108677892.0,1294755383.0
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,6,71,100,Major,56,53,55,53,0,12,4,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,5/16/2023,INH102307527,"1,379",39.8,"226,109,929","11,941","13,056,935",66.0,290394869.0,2663583.0,62.0,997.0,19132.0
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,9,101,105,Minor,89,67,78,9,0,7,33,S-Class,5-STAR,Stray Kids,6/2/2023,US5TA2300034,"1,465",38.3,"207,857,363","14,268","6,924,859",70.0,202184485.0,3376954.0,237706.0,290304541.0,1571240092.0
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,15,92,132,Major,85,53,68,40,0,9,4,Chanel,Chanel,Becky G,3/30/2023,USRC12300804,"1,175",43.8,"287,853,890","21,244","8,675,975",65.0,267142398.0,1552179.0,98312.0,44289816.0,550080768.0
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,44,34,155,Major,82,51,39,2,0,9,49,Area Codes,Area Codes,Kaliii,3/17/2023,USAT22301942,"1,220",42.8,"228,240,866","33,819","27,729,274",68.0,71928705.0,887392.0,431192.0,122679145.0,1249845764.0
Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,89933133,8,60,129,Major,70,42,43,78,0,11,3,Abcdario,Abcdario,Eden Muï¿½ï,5/13/2023,MXB952300035,"1,738",35.0,"262,504,588","19,709","8,079,760",72.0,149083889.0,660503.0,1.0,33.0,939.0
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,10,79,135,Minor,80,85,74,62,0,8,9,Obsessed,Obsessed,Riar Saab,9/29/2022,QMBZ92299094,"3,972",21.4,"161,366,691","18,781","6,151,558",64.0,167537164.0,1497169.0,133300.0,16562523.0,286891984.0
Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,43522589,5,6,98,Minor,73,45,62,28,0,13,13,Piï¿½ï¿½man Deï¿,Piï¿½ï¿½man Deï¿½ï¿½ilim ,Semicenk,6/2/2023,FRX762391695,"2,434",28.9,"134,291,091","16,247","2,133,867",65.0,147910091.0,435023.0,961638.3856,192319298.00158226,1959827354.2515824
FLOWER,JISOO,1,2023,3,31,839,18,232896922,20,110,124,Minor,84,64,39,3,0,11,4,FLOWER,ME,JISOO,3/31/2023,KRA402300002,174,114.3,"440,364,356","26,107","15,314,737",70.0,525156884.0,10820829.0,3411209.0,550993898.0,6724997940.0
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116,69,107,Major,78,39,53,30,0,11,6,Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,GBAHS2201304,168,116.6,"372,423,476","44,730","21,933,393",71.0,131308671.0,1074684.0,1102985.0,38959591.0,830123390.0
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353,116,84,96,Major,54,25,74,14,0,9,11,Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/2022,QMDA62217995,190,110.1,"804,925,777","128,247","62,532,855",75.0,175393116.0,1729347.0,935169.0,362063344.0,3209982240.0
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192,47,77,123,Major,71,58,70,30,0,32,19,La Jumpa,La Jumpa,Arcï¿½ï¿½,11/30/2022,QMDA72252608,726,56.9,"716,829,483","99,063","53,041,655",68.0,131057530.0,1300009.0,46605.0,37630552.0,348775704.0
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,8,78,133,Minor,78,90,84,31,0,7,4,Las Morras,Las Morras,Peso Pluma,4/4/2023,QM4TX2378801,"2,004",32.2,"253,711,656","26,015","6,838,351",66.0,148812952.0,859486.0,21800.0,6180710.0,79415641.0
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710,29,65,96,Minor,74,61,83,11,0,35,6,CHORRITO PA LAS ANIMAS,SIXDO,Feid,12/2/2022,USUM72222460,707,57.6,"558,560,568","61,360","26,903,567",75.0,228242847.0,852495.0,1015200.0,134483388.0,1339213086.0
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651,10,72,149,Major,66,85,60,40,0,14,13,Ch y la Pizza,Ch y la Pizza,Fuerza Regida,12/1/2022,QZ9QQ2200104,"1,230",42.7,"511,421,362","37,923","17,851,037",75.0,265678775.0,844731.0,68003.0,17455943.0,204148897.0
Players,Coi Leray,1,2022,11,30,4096,6,335074782,118,48,105,Major,95,62,52,3,0,5,16,Players,Players,Coi Leray,11/30/2022,USUM72222387,230,101.8,"465,588,517","91,658","60,607,887",67.0,109781672.0,1706148.0,1456347.0,477814190.0,4784803362.0
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,8,96,105,Major,80,69,78,28,0,11,14,Bite Me,DARK BLOOD,ENHYPEN,5/22/2023,USA2P2319853,"1,713",35.3,"263,851,286","17,657","7,369,849",73.0,161653032.0,3135324.0,120256.0,103362311.0,483823339.0
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667,23,82,134,Major,76,61,58,6,0,16,3,Stand By Me (feat. Morgan Wallen),Almost Healed,Lil Durk,5/26/2023,USQX92303185,"1,978",32.4,"132,870,060","27,561","8,424,250",69.0,27715495.0,361926.0,39700.0,4608976.0,62570724.0
Normal,Feid,1,2022,7,8,2461,36,459276435,47,66,170,Minor,71,59,56,4,0,27,12,Normal,Normal,Feid,7/8/2022,USUM72211935,804,54.1,"724,772,954","76,821","31,039,211",76.0,395704504.0,1556356.0,86775.0,25803660.0,237386912.0
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,1,20,81,Major,59,26,60,46,1,25,13,Hummingbird (Metro Boomin & James Blake),METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,USUM72307467,"4,208",20.6,"88,524,099","26,884","4,613,355",63.0,25881919.0,309105.0,1897.0,2333269.0,15122285.0
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,155,72,169,Major,69,69,51,63,0,38,4,Bad Habit,Bad Habit,Steve Lacy,6/29/2022,USRC12201440,207,105.8,"1,087,938,471","220,515","63,054,597",73.0,147472695.0,2050299.0,902163.0,360938850.0,2783442788.0
CUFF IT,Beyoncï¿,1,2022,7,29,7842,10,595900742,215,88,115,Major,78,64,69,4,0,7,14,CUFF IT,RENAISSANCE,Beyoncï¿,7/29/2022,USSM12206232,213,104.9,"795,960,535","100,204","68,659,216",73.0,176996169.0,1606296.0,2762888.0,945005125.0,11215597325.0
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040,29,26,91,Major,82,47,62,10,0,10,15,Niï¿½ï¿½a Bo,Niï¿½ï¿½a Bo,Feid,4/21/2023,USUM72305943,"1,508",37.8,"237,741,410","39,503","20,043,997",61.0,86652111.0,676137.0,314300.0,33678445.0,411538350.0
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,58,70,142,Minor,82,54,44,6,0,33,7,Search & Rescue,Search & Rescue,Drake,4/7/2023,USUG12301601,329,84.6,"337,858,357","96,709","21,646,810",69.0,40938953.0,336819.0,106645.0,21329637.0,192701225.0
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,51,43,97,Major,73,10,44,26,0,16,8,Lavender Haze,Midnights,Taylor Swift,10/21/2022,USUG12205734,"1,090",45.9,"711,138,043","42,535","28,394,531",73.0,26695871.0,411132.0,90029.0,35207211.0,302181012.0
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,34,65,98,Minor,80,23,48,14,0,6,5,Efecto,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214884,292,90.1,"1,293,773,697","115,332","51,081,689",77.0,501908214.0,2730759.0,2482560.0,549037519.0,6046489956.0
Cupido,Tini,1,2023,2,14,1240,24,217672943,51,29,120,Major,91,63,58,52,0,31,22,Cupido,Cupido,TINI,2/14/2023,USHR12245118,905,50.7,"358,240,136","35,751","23,674,275",70.0,216226939.0,844073.0,827378.0,189261300.0,2253379250.0
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829,72,27,150,Major,49,4,55,7,0,6,3,Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,10/17/2022,USAT22219211,318,85.8,"665,519,026","152,193","67,322,941",68.0,187947945.0,2379515.0,1016531.0,606205784.0,5516142056.0
Unstoppable,Sia,1,2016,1,21,7681,13,939844851,119,66,174,Major,47,27,78,11,0,10,8,Unstoppable,Unstoppable,Sia,1/21/2016,USRC11502934,548,65.5,"1,285,237,951","166,761","75,244,498",76.0,1383536938.0,11277243.0,7657876.0,920079246.0,14808888629.0
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358,69,100,202,Major,34,25,51,69,0,18,4,Until I Found You,Until I Found You,Stephen Sanchez,9/1/2021,USUG12103651,339,83.0,"1,020,452,066","169,696","52,678,003",73.0,385820349.0,4710732.0,796783.0,391999548.0,3320885451.0
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020,84,84,153,Minor,56,42,52,5,0,36,24,Rich Flex,Her Loss,Drake,11/4/2022,USUG12208598,320,85.5,"812,274,757","185,579","57,165,405",73.0,86053276.0,651228.0,317033.0,223409952.0,1834709832.0
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294,258,87,142,Major,60,13,37,58,0,13,3,Easy On Me,Easy On Me,Adele,10/14/2021,USSM12105970,88,163.2,"1,720,918,065","209,635","93,875,458",73.0,1194846205.0,13561925.0,1912194.0,733101955.0,7860224413.0
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339,7,2,108,Minor,84,55,47,26,0,20,64,Cartï¿½ï¿½o B,Cartï¿½ï¿½o B,MC Caverinha,5/11/2023,BRRGE2300377,"2,917",25.8,"143,421,339","23,431","7,023,908",63.0,108239669.0,1037417.0,40500.0,12310702.0,125638371.0
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568,81,53,104,Minor,95,78,66,3,0,4,6,The Real Slim Shady,The Source Hip-Hop Hits Vol. 4,Eminem,1/1/2000,USIR10000448,"2,796",26.5,"1,798,020,679","352,947","75,283,550",81.0,961666231.0,7927293.0,74682.0,86740640.0,771015965.0
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117,41,22,93,Minor,84,96,79,43,0,18,11,MERCHO,MERCHO,LiL CaKe,12/16/2022,ARF102200411,738,56.4,"366,462,735","52,345","27,129,754",67.0,184622271.0,842979.0,1617600.0,191086404.0,2944174250.0
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686,3,79,105,Minor,65,46,53,16,0,9,5,The Color Violet,Alone At Prom,Tory Lanez,12/10/2021,QZTGW2100275,833,53.1,"806,918,358","152,298","19,863,721",79.0,105278538.0,1053733.0,40106.0,22514603.0,251896836.0
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741,109,42,170,Major,44,27,32,89,0,14,5,Glimpse of Us,Glimpse of Us,Joji,6/10/2022,USWB12201789,242,99.8,"1,262,308,912","234,936","83,890,841",74.0,66246839.0,2067331.0,865354.0,1031153514.0,8988453878.0
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,9,13,178,Minor,62,56,66,18,0,12,5,Mejor Que Yo,Mejor Que Yo - Single,Anuel AA,5/4/2023,QM6N22374183,"3,552",22.8,"81,623,095","18,046","6,605,054",59.0,109132919.0,1146510.0,961638.3856,192319298.00158226,1959827354.2515824
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,14,110,104,Minor,80,38,88,11,0,11,5,UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,LE SSERAFIM,5/1/2023,USA2P2310663,"2,639",27.4,"223,652,808","18,262","11,833,709",70.0,129099788.0,2078161.0,85400.0,75312218.0,705088821.0
Haegeum,Agust D,1,2023,4,21,244,12,118810253,6,84,85,Major,70,83,84,31,0,47,30,Haegeum,D-DAY,Agust D,4/21/2023,USA2P2310691,"4,485",19.7,"285,039,741","8,884","17,220,812",75.0,80959733.0,5337877.0,151700.0,111667305.0,528452231.0
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241,17,7,117,Minor,77,69,58,39,0,26,5,Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich The Kid) ,Matuï¿,4/30/2023,BXW922200014,"2,453",28.8,"159,579,530","29,495","10,067,664",67.0,113216772.0,1817753.0,21800.0,7387254.0,68969483.0
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629,15,26,80,Major,52,57,48,86,0,15,39,MIENTRAS ME CURO DEL CORA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2/24/2023,USUM72300862,506,68.7,"426,341,106","29,511","24,418,991",76.0,304538874.0,2238586.0,1577292.0,68382766.0,871654140.0
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,46,5,98,Major,44,36,41,50,0,38,5,Never Felt So Alone,Never Felt So Alone,Labrinth,4/7/2023,USSM12302165,"1,275",41.9,"269,669,185","44,019","21,429,823",67.0,29035288.0,608532.0,581320.0,71546908.0,531883271.0
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541,45,80,178,Minor,79,58,78,34,0,11,25,X SI VOLVEMOS,X SI VOLVEMOS,KAROL G,2/3/2023,USUM72222547,"1,887",33.4,"491,242,756","37,814","18,470,152",75.0,80668854.0,1002368.0,37716.0,4293404.0,77308719.0
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992,67,55,148,Major,51,27,33,48,0,22,3,ceilings,five seconds flat,Lizzy McAlpine,4/8/2022,GBKPL2280163,"1,944",32.8,"540,382,129","67,808","85,710,040",76.0,33922247.0,572580.0,681271.0,330884076.0,2631370364.0
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,15,93,120,Major,77,94,66,65,0,38,3,Cupid,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,KSA012239180,"1,256",42.2,"212,084,990","34,632","4,625,072",37.0,191028847.0,3745346.0,159346.0,66491755.0,543360467.0
I AM,IVE,1,2023,4,10,366,15,123132751,16,102,122,Minor,68,38,88,1,0,8,5,I AM,I've IVE,IVE,4/10/2023,QM4TX2337764,"1,326",40.8,"269,067,890","20,356","8,290,715",71.0,256133933.0,2369761.0,103447.0,53293582.0,473159481.0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518,0,0,144,Major,74,75,73,42,0,9,4,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,KRA252300672,42,211.2,"170,970,614","27,827","5,784,546",41.0,22280037.0,334523.0,14348249.0,948225544.0,12196985599.0
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,8,14,96,Major,93,47,47,33,0,10,36,Shorty Party,Shorty Party,Cartel De Santa,3/4/2023,MX3602300010,633,60.4,"323,657,766","28,785","11,052,463",69.0,373726087.0,2491193.0,416201.0,53038445.0,623071891.0
Super,SEVENTEEN,1,2023,4,24,271,12,91221625,16,103,137,Major,77,35,88,16,0,17,9,Super,ýýýýýýýýý ýýýýýý10ýýý 'FML' - EP,SEVENTEEN,4/24/2023,USA2P2310675,"1,839",33.9,"210,481,840","14,690","8,191,208",67.0,209677493.0,2906443.0,95008.0,178551449.0,1027127321.0
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915,21,4,121,Minor,94,71,61,12,0,53,42,Slut Me Out,Slut Me Out - Single,NLE Choppa,4/15/2022,USWB12200942,"2,867",26.1,"346,862,697","72,540","23,493,477",67.0,28725574.0,481537.0,60398.0,29004515.0,186623555.0
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,36,65,119,Minor,60,10,57,1,0,50,3,Double Fantasy (with Future),Double Fantasy,The Weeknd,4/21/2023,USUG12302627,"2,597",27.7,"180,940,067","36,631","14,272,823",66.0,51093878.0,753208.0,4000.0,5091663.0,47997951.0
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467,114,104,111,Major,87,53,52,66,1,11,5,PROVENZA,PROVENZA,KAROL G,4/22/2022,USUM72205906,151,123.8,"1,185,929,926","103,026","64,847,502",76.0,1229843060.0,5870729.0,1300337.0,251445963.0,2829294043.0
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,0,0,148,Major,90,74,68,14,0,10,19,Princess Diana (with Nicki Minaj),Princess Diana (with Nicki Minaj),Ice Spice,4/14/2023,USUG12300211,"2,829",26.3,"220,270,601","34,862","34,947,789",67.0,32354134.0,356483.0,219907.0,98324852.0,905030524.0
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,4,64,182,Major,57,80,59,8,0,6,5,Di Que Si,Di Que Si,Grupo Marca Registrada,2/3/2023,USA2P2308597,"4,520",19.6,"278,308,556","22,061","8,857,760",61.0,37305033.0,258130.0,961638.3856,192319298.00158226,1959827354.2515824
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087,234,71,141,Major,79,82,86,28,0,4,9,Shivers,#NAME?,Ed Sheeran,1/1/2020,GBAHS2100671,330,84.4,"1,568,058,093","188,855","77,441,110",77.0,683237554.0,4641763.0,389848.0,88427778.0,1292107474.0
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978,8,84,145,Minor,76,80,81,19,0,6,9,Igualito a Mi Apï¿,Pa Que Hablen,Fuerza Regida,12/30/2022,QZ9QQ2200167,"1,585",36.8,"316,447,060","27,766","12,168,890",72.0,254781747.0,1096192.0,961638.3856,192319298.00158226,1959827354.2515824
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,16,90,110,Minor,76,26,70,1,0,41,6,Shoong! (feat. LISA of BLACKPINK),Down to Earth,TAEYANG,4/25/2023,KSA002300722,"2,903",25.9,"156,994,096","14,231","5,565,204",61.0,147699486.0,22687.0,15086.0,27140570.0,180459570.0
Komang,Raim Laode,1,2022,8,16,158,4,137123880,5,6,134,Major,70,35,41,41,0,10,3,Komang,Komang,Raim Laode,8/17/2022,SGB502228663,"1,378",39.8,"329,763,216","16,110","3,893,973",70.0,98333231.0,661439.0,2849800.0,293982530.0,3870057710.0
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383,180,90,130,Major,92,78,62,18,0,6,10,DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/2022,USSM12207207,166,116.9,"1,003,487,432","126,402","88,024,543",73.0,621874255.0,2859234.0,2409247.0,476447290.0,6208638113.0
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952,142,23,145,Major,84,88,53,35,0,8,7,Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,USSM12204574,135,129.5,"720,720,922","74,295","89,509,926",77.0,221078988.0,2557839.0,4687520.0,1252326407.0,15247253457.0
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255,0,0,130,Minor,69,36,90,1,10,15,4,Watch This - ARIZONATEARS Pluggnb Remix,Watch This (Lil Uzi Vert) [ARIZONATEARS Pluggnb Remix],Lil Uzi Vert,2/5/2023,USAT22301358,837,53.1,"377,174,503","100,095","41,254,482",71.0,443194213.28134555,4046645.142419602,961638.3856,192319298.00158226,1959827354.2515824
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295,17,80,173,Major,59,69,53,12,0,23,3,No Se Va,No Se Va (En Vivo) - EP,Grupo Frontera,4/28/2022,QZHN72212529,973,49.0,"582,023,797","48,881","17,367,502",70.0,293059162.0,1383526.0,1100596.0,64787440.0,805988782.0
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552,18,78,175,Minor,59,15,64,43,90,12,10,METAMORPHOSIS,METAMORPHOSIS,INTERWORLD,11/25/2021,QZS642102633,746,56.2,"624,007,138","88,566","48,503,856",76.0,300340121.0,3913127.0,386544.0,202072663.0,2052187356.0
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603,4,71,132,Minor,59,56,82,12,0,12,6,Set Me Free Pt.2,Set Me Free Pt.2,Jimin,3/17/2023,USA2P2251867,"2,554",28.0,"350,802,342","12,581","16,368,476",76.0,150660549.0,5807332.0,182865.0,104841360.0,494628703.0
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769,30,70,114,Major,32,17,74,14,0,17,3,I Was Never There,"My Dear Melancholy,",The Weeknd,3/29/2018,USUG11800570,"3,488",23.1,"995,463,505","139,596","44,549,966",78.0,283348553.0,3003483.0,32188.0,23839570.0,175752903.0
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240,53,120,110,Major,82,67,69,0,0,18,4,Shut Down,BORN PINK,BLACKPINK,9/16/2022,KRA402200020,497,69.0,"654,818,451","39,852","17,682,503",67.0,633781726.0,11421404.0,844032.0,374048198.0,3365539262.0
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600,21,55,94,Major,89,61,66,17,0,36,16,Gato de Noche,Gato de Noche,ýýengo Flow,12/22/2022,QMFMF2216359,"1,547",37.3,"427,842,597","59,365","26,456,238",66.0,103306657.0,870677.0,21809.0,10011741.0,92071601.0
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467,151,107,134,Major,45,17,60,21,0,33,4,Call Out My Name,"My Dear Melancholy,",The Weeknd,3/29/2018,USUG11800560,603,61.6,"1,780,889,877","229,909","75,001,452",79.0,1366385062.0,10766000.0,284554.0,89244170.0,742902070.0
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258,8,77,123,Minor,70,86,68,24,0,11,4,Rosa Pastel,Rosa Pastel,Peso Pluma,4/20/2023,QM4TX2394694,"2,391",29.2,"192,231,633","22,780","5,337,724",65.0,111990624.0,724790.0,9007.0,2993894.0,32536991.0
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649,156,35,131,Major,77,84,71,35,0,15,4,Sunroof,Sunroof,Nicky Youre,11/26/2021,QM24S2107064,279,92.3,"879,708,559","44,652","23,104,189",12.0,74610328.0,807333.0,11172130.0,1672193890.0,22086963233.0
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,10,41,94,Major,82,53,67,34,0,9,8,Mas Rica Que Ayer,Mas Rica Que Ayer,Anuel AA,3/2/2023,QM4TX2320032,"1,278",41.7,"256,112,908","34,370","18,181,647",67.0,245635362.0,1493703.0,961638.3856,192319298.00158226,1959827354.2515824
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,20,8,87,Minor,65,71,56,4,0,15,20,REMIX EXCLUSIVO,REMIX EXCLUSIVO,Feid,3/17/2023,USUM72304040,"3,292",23.9,"185,448,173","32,140","17,704,359",66.0,64774453.0,486024.0,17536.0,2313721.0,19349275.0
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613,11,3,124,Minor,72,79,78,55,0,15,30,"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol. 54 - Si",Bizarrap,3/22/2023,UYB282301033,"2,191",30.6,"146,680,564","28,883","9,546,255",62.0,154916805.0,3043720.0,820.0,136267.0,1816865.0
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,23,0,78,Major,71,80,65,51,0,22,32,DOGTOOTH,DOGTOOTH,"Tyler, The Creator",3/27/2023,USQX92301932,"1,914",33.1,"141,377,619","54,114","7,207,419",66.0,20493982.0,566751.0,2021.0,802527.0,4036849.0
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432,190,104,120,Major,70,70,79,7,0,18,10,10:35,10:35,Tiï¿½ï¿,11/3/2022,CYA112001130,958,49.2,"539,802,784","82,093","99,413,749",74.0,94379586.0,652780.0,11473.0,5762615.0,119710596.0
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,8,1,96,Minor,48,50,80,40,0,37,20,SORRY NOT SORRY,CALL ME IF YOU GET LOST: The Estate Sale,"Tyler, The Creator",3/31/2023,USQX92301939,"3,536",22.9,"98,301,770","40,539","4,631,003",63.0,30136123.0,792334.0,4786.0,2486105.0,19817648.0
HAPPY,NF,1,2023,3,25,660,0,52722996,22,7,106,Major,73,22,86,31,0,12,4,HAPPY,HOPE,NF,4/7/2023,USUM72300449,"2,032",32.0,"127,558,523","29,689","7,546,223",68.0,56328016.0,701370.0,9222.0,2737285.0,37060287.0
